model,tract_dice,abscess_dice,eas_dice,hd95_mm,centerline_dice,branch_f1,io_error_mm,eas_mae_pct,class_f1
3D U-Net,0.71,0.78,0.86,8.9,0.61,0.55,8.4,14.2,0.7
Attention 3D U-Net,0.73,0.8,0.87,8.2,0.64,0.59,7.8,13.1,0.73
nnU-Net,0.77,0.83,0.89,7.1,0.69,0.64,6.9,11.8,0.77
Swin UNETR,0.78,0.84,0.89,6.8,0.71,0.66,6.5,11.2,0.79
Fistula-Net without reliability gating,0.8,0.85,0.89,6.4,0.74,0.69,6.2,10.6,0.8
Fistula-Net without coordinate field,0.8,0.85,0.89,6.3,0.75,0.7,6.1,10.4,0.81
Fistula-Net without topology decoder,0.81,0.85,0.9,6.1,0.7,0.63,6.7,10.7,0.8
Fistula-Net without graph reasoning,0.82,0.86,0.9,5.8,0.78,0.74,5.6,9.5,0.82
Full Fistula-Net,0.84,0.88,0.91,5.2,0.82,0.8,4.6,7.8,0.87
